Date,Volume,Close,Min,Max
2021-04-30,222254925.0,9.14,9.13,9.4
2021-05-03,166136758.0,9.0,9.0,9.22
2021-05-04,256973615.0,8.69,8.63,9.05
2021-05-05,205676701.0,8.66,8.47,8.78
2021-05-06,113644650.0,8.44,8.43,8.72
2021-05-07,135017289.0,8.4,8.29,8.75
2021-05-10,60054236.0,8.4,8.37,8.46
2021-05-11,35369758.0,8.3,8.3,8.38
2021-05-12,19340926.0,8.23,8.2,8.3
2021-05-17,80357739.0,8.42,8.13,8.5
2021-05-18,41439943.0,8.27,8.24,8.38
2021-05-20,29661286.0,8.23,8.22,8.26
2021-05-21,47407296.0,8.23,8.22,8.34
2021-05-24,39786750.0,8.13,8.11,8.26
2021-05-25,111444250.0,7.87,7.72,8.18
2021-05-26,29431947.0,7.69,7.66,7.99
2021-05-27,105522438.0,7.78,7.66,8.45
2021-05-28,31879461.0,7.66,7.65,7.82
2021-05-31,41531638.0,7.46,7.41,7.73
2021-06-01,16127923.0,7.42,7.42,7.54
2021-06-02,27549974.0,7.43,7.33,7.51
2021-06-03,18043532.0,7.34,7.28,7.49
2021-06-04,32790061.0,7.2,7.19,7.42
2021-06-07,17404886.0,7.15,7.15,7.23
2021-06-08,26680907.0,6.99,6.99,7.17
2021-06-09,168918625.0,7.3,6.98,7.35
2021-06-10,48748299.0,7.34,7.21,7.35
2021-06-11,66177137.0,7.35,7.25,7.39
2021-06-14,11779104.0,7.2,7.2,7.36
2021-06-15,14021258.0,7.07,7.06,7.21
2021-06-16,21739193.0,7.06,7.05,7.14
2021-06-17,13457503.0,7.02,7.02,7.1
2021-06-18,12951262.0,6.97,6.97,7.06
2021-06-21,17438791.0,6.83,6.81,6.98
2021-06-22,13111542.0,6.86,6.81,6.89
2021-06-23,26902536.0,6.85,6.85,6.94
2021-06-24,13800193.0,6.81,6.79,6.88
2021-06-25,30343963.0,6.73,6.72,6.92
2021-06-28,41962051.0,6.24,6.24,6.77
2021-06-29,38026940.0,5.98,5.96,6.26
2021-06-30,32791856.0,6.01,5.96,6.11
2021-07-01,45574306.0,6.13,6.04,6.26
2021-07-02,15519440.0,6.04,6.01,6.14
2021-07-05,43897253.0,6.25,6.02,6.29
2021-07-06,232936217.0,6.59,6.14,6.87
2021-07-07,48555377.0,6.45,6.45,6.76
2021-07-08,24535323.0,6.32,6.32,6.51
2021-07-09,12126259.0,6.29,6.25,6.37
2021-07-12,11406207.0,6.08,6.07,6.29
2021-07-13,15964560.0,5.96,5.96,6.08
2021-07-14,15159098.0,6.0,5.98,6.05
2021-07-16,38478301.0,6.18,5.99,6.21
2021-07-19,14807380.0,6.09,6.07,6.16
2021-07-26,34254177.0,6.22,6.05,6.28
2021-07-27,108100538.0,6.38,6.14,6.47
2021-07-28,128746858.0,6.65,6.38,6.89
2021-07-29,52959249.0,6.66,6.61,6.76
2021-07-30,44072185.0,6.73,6.55,6.74
2021-08-02,30185766.0,6.75,6.68,6.8
2021-08-03,43464358.0,6.8,6.71,6.87
2021-08-04,129316129.0,7.07,6.79,7.18
2021-08-05,236966819.0,7.77,7.01,7.77
2021-08-06,85033222.0,7.41,7.4,7.81
2021-08-09,242498365.0,8.0,7.31,8.15
2021-08-10,173100346.0,7.72,7.72,8.12
2021-08-11,41492829.0,7.6,7.54,7.82
2021-08-12,66499619.0,7.81,7.62,7.9
2021-08-13,121253662.0,8.15,7.75,8.16
2021-08-16,189149764.0,7.93,7.86,8.27
2021-08-17,39834302.0,7.93,7.88,8.12
2021-08-18,32331862.0,7.78,7.78,8.06
2021-08-19,18734911.0,7.61,7.59,7.75
2021-08-20,31328639.0,7.47,7.41,7.71
2021-08-23,27993623.0,7.6,7.51,7.75
2021-08-24,53021749.0,7.45,7.41,7.73
2021-08-25,65114914.0,7.44,7.27,7.48
2021-08-26,22341187.0,7.42,7.34,7.49
2021-08-27,15588057.0,7.45,7.38,7.49
2021-08-31,28529291.0,7.54,7.48,7.62
2021-09-01,19691758.0,7.5,7.5,7.61
2021-09-02,35985610.0,7.44,7.43,7.55
2021-09-03,12452418.0,7.3,7.28,7.45
2021-09-06,20946067.0,7.29,7.27,7.37
2021-09-07,14229289.0,7.19,7.15,7.31
2021-09-08,39633226.0,6.9,6.84,7.21
2021-09-09,17646817.0,7.01,6.8,7.1
2021-09-10,13860648.0,6.93,6.91,7.04
2021-09-13,15666572.0,6.93,6.9,7.02
2021-09-14,14815640.0,6.91,6.9,7.01
2021-09-15,12983347.0,6.89,6.86,6.95
2021-09-16,12600393.0,6.8,6.76,6.93
2021-09-17,14594017.0,6.79,6.57,6.84
2021-09-20,14750896.0,6.61,6.55,6.71
2021-09-21,15470350.0,6.58,6.58,6.83
2021-09-22,11832812.0,6.57,6.48,6.63
2021-09-23,109735333.0,6.65,6.5,7.22
2021-09-24,23573471.0,6.7,6.65,6.81
2021-09-27,12812098.0,6.71,6.65,6.76
2021-09-28,29452291.0,6.89,6.67,6.98
2021-09-29,41989123.0,7.01,6.92,7.18
2021-09-30,14143219.0,6.92,6.9,7.05
2021-10-01,30940183.0,6.92,6.87,7.06
2021-10-04,94790659.0,7.16,6.93,7.34
2021-10-05,43587247.0,7.05,7.01,7.33
2021-10-06,19976643.0,6.86,6.86,7.12
2021-10-07,12417422.0,6.9,6.88,6.98
2021-10-08,11243321.0,6.88,6.87,6.96
2021-10-11,19914910.0,6.79,6.78,6.97
2021-10-12,16266152.0,6.7,6.69,6.85
2021-10-13,43787399.0,6.71,6.69,7.0
2021-10-14,18492697.0,6.65,6.64,6.75
2021-10-15,21827530.0,6.72,6.64,6.74
2021-10-18,20365359.0,6.76,6.68,6.84
2021-10-19,21846797.0,6.96,6.78,6.98
2021-10-20,15116087.0,6.86,6.85,6.99
2021-10-21,87328583.0,6.7,6.52,7.05
2021-10-22,26559050.0,6.71,6.67,6.76
2021-10-25,19808100.0,6.71,6.67,6.78
2021-10-26,30443316.0,6.9,6.73,6.92
2021-10-27,20459112.0,6.88,6.85,7.03
2021-10-28,4788512.0,6.85,6.82,6.88
2021-11-01,21638981.0,6.93,6.87,7.02
2021-11-02,32294334.0,6.9,6.88,7.06
2021-11-03,29335142.0,6.85,6.67,6.98
2021-11-04,38550432.0,6.95,6.88,7.06
2021-11-05,35900175.0,7.04,6.95,7.13
2021-11-08,19905763.0,7.03,6.99,7.11
2021-11-09,51340134.0,6.81,6.78,7.06
2021-11-10,22116963.0,6.73,6.72,6.85
2021-11-11,23910852.0,6.59,6.59,6.78
2021-11-12,18836898.0,6.59,6.57,6.63
2021-11-15,25570132.0,6.59,6.56,6.68
2021-11-16,27576876.0,6.56,6.56,6.69
