Date,Volume,Close,Min,Max
2013-12-19,3579642.0,0.9562,0.9517545,0.96962786
2013-12-23,4731868.0,0.9696,0.9651595,0.9875012
2013-12-30,4914828.92,0.9383,0.9115396,0.942818
2014-01-03,2827773.0,0.9339,0.9249445,0.94728625
2014-01-07,4638542.0,0.9607,0.94728625,0.9740962
2014-02-06,1392036.0,0.9696,0.9562229,0.9785647
2014-02-10,1822057.0,0.9696,0.9517545,0.96962786
2014-02-14,1889980.0,0.9875,0.9740962,0.9875012
2014-02-18,1348965.0,0.9741,0.96962786,0.9919696
2014-03-20,3557294.0,0.9428,0.93388116,0.94728625
2014-03-24,1657992.0,0.9249,0.9204763,0.942818
2014-03-28,1208585.0,0.9339,0.93388116,0.9383494
2014-04-04,2102735.0,0.983,0.96962786,0.9830328
2014-04-08,3768063.0,1.0098,1.009843,1.0321845
2014-05-08,4990915.0,1.0439,1.0345969,1.0578984
2014-05-12,1765254.0,1.0299,1.0299363,1.0439173
2014-05-16,1837190.0,1.002,0.91342777,1.025276
2014-06-11,2151857.0,0.988,0.9879932,1.0439173
2014-06-19,2201341.0,1.002,1.0019743,1.0206157
2014-06-23,2958308.0,1.0253,1.0112948,1.0299363
2014-07-23,1462982.0,1.0253,1.025276,1.0439173
2014-07-31,1215140.0,1.0113,1.0112948,1.0345969
2014-08-07,1456321.0,0.9787,0.97401226,0.9926536
2014-08-11,1429082.0,0.9694,0.9693519,0.9973141
2014-08-26,2062454.0,0.9694,0.9693519,0.9786725
2014-09-03,3431607.0,1.0113,0.9926536,1.0112948
2014-09-10,1474553.0,1.002,0.9926536,1.0112948
2014-09-18,2268711.0,0.9927,0.9879932,1.0112948
2014-10-03,523492.0,0.9973,0.9879932,1.0019743
2014-10-14,4073610.0,1.0206,0.9973141,1.025276
2014-10-22,9283579.0,1.0579,1.0206157,1.0625587
2014-11-10,2828954.0,1.0672,1.0625587,1.0905207
2014-11-21,10794611.0,1.1092,1.0765398,1.1138226
2014-11-25,4246361.0,1.0952,1.0812,1.1045016
2014-12-03,5560653.0,1.0952,1.0951811,1.1091622
2014-12-29,2019631.0,1.0719,1.0718793,1.0905207
2015-01-02,3455191.0,1.0998,1.0765398,1.1045016
2015-01-06,19306809.0,1.1558,1.0951811,1.1650864
2015-01-21,20340492.0,1.3795,1.3701415,1.4120846
2015-02-05,29638679.0,1.3468,1.3375192,1.3794622
2015-02-09,22887040.0,1.3748,1.3002363,1.374802
2015-02-13,30807961.0,1.3562,1.3561608,1.3981036
2015-02-16,26985878.0,1.3748,1.3654813,1.3981036
2015-02-20,8496313.0,1.3422,1.3375192,1.3701415
2015-02-24,8196253.0,1.3282,1.3188777,1.3375192
2015-03-26,9718481.0,1.1558,1.1417848,1.160426
2015-03-30,6301457.0,1.1837,1.1650864,1.1883879
2015-04-03,6868856.0,1.1837,1.1744069,1.1930482
2015-04-07,6977240.0,1.2024,1.1977085,1.2210104
2015-05-07,14345350.0,1.2525,1.2477251,1.2957145
2015-05-11,64825273.0,1.3437,1.276519,1.3533021
2015-05-15,46791795.0,1.5117,1.4732757,1.521265
2015-05-22,42471879.0,1.5309,1.526064,1.5644556
2015-05-26,69858744.0,1.5309,1.4876723,1.5932492
2015-06-10,21973110.0,1.3581,1.3437041,1.3772966
2015-06-18,26161547.0,1.3533,1.3389052,1.3676988
