Date,Volume,Close,Min,Max
2013-12-16,101395416.0,1.9448,1.9081448,1.9448397
2013-12-17,549736246.0,1.7027,1.6806351,1.900806
2013-12-18,551000421.0,1.7027,1.585228,1.7099913
2013-12-19,505703512.0,1.5999,1.592567,1.6512792
2013-12-20,1394859482.42,1.5779,1.5265157,1.6512792
2013-12-23,542657670.0,1.5632,1.5485327,1.6219231
2013-12-24,358838910.0,1.6366,1.585228,1.6512792
2013-12-25,347444456.0,1.5485,1.5191767,1.6586182
2013-12-26,236518833.0,1.5485,1.5411938,1.5999061
2013-12-27,306977950.0,1.5045,1.4457867,1.5632111
2013-12-30,343432348.24,1.5779,1.5265157,1.585228
2013-12-31,177245954.0,1.5412,1.5338548,1.585228
2014-01-02,151381817.0,1.5339,1.5118377,1.5411938
2014-01-03,183669016.0,1.5706,1.5338548,1.5778891
2014-01-06,241241725.0,1.6072,1.5705501,1.6219231
2014-01-07,225902163.0,1.6219,1.585228,1.629262
2014-01-08,227873731.0,1.5779,1.5705501,1.6366009
2014-01-09,113712045.0,1.5632,1.5558718,1.5705501
2014-01-10,122802826.0,1.5926,1.5558718,1.5999061
2014-01-13,128478617.0,1.5926,1.585228,1.614584
2014-01-14,72549416.0,1.5926,1.5705501,1.592567
2014-01-15,101926491.0,1.5852,1.5705501,1.5999061
2014-01-16,209056676.0,1.5926,1.5558718,1.6072452
2014-01-17,207593125.0,1.5632,1.5558718,1.629262
2014-01-20,87113558.0,1.5632,1.5411938,1.5778891
2014-01-21,166761072.0,1.5999,1.5632111,1.614584
2014-01-22,128632896.0,1.6219,1.6072452,1.6366009
2014-01-23,130152777.0,1.5779,1.5778891,1.629262
2014-01-24,158159472.0,1.5632,1.5411938,1.592567
2014-01-27,145735279.0,1.5852,1.5338548,1.592567
2014-01-28,227127123.0,1.5852,1.585228,1.6439402
2014-01-29,258888105.0,1.5632,1.5044987,1.6366009
2014-01-30,148586899.0,1.5779,1.5338548,1.5778891
2014-01-31,88518964.0,1.5779,1.5558718,1.592567
2014-02-03,65505961.0,1.5706,1.5632111,1.585228
2014-02-04,165498821.0,1.5779,1.5265157,1.5778891
2014-02-05,96708619.0,1.5632,1.5558718,1.585228
2014-02-06,113196209.0,1.5999,1.5632111,1.5999061
2014-02-07,130461977.0,1.5999,1.585228,1.614584
2014-02-10,71701579.0,1.5999,1.585228,1.6072452
2014-02-11,87763301.0,1.6146,1.5999061,1.629262
2014-02-12,200985488.0,1.6513,1.629262,1.6732962
2014-02-13,113878358.0,1.6513,1.6439402,1.6732962
2014-02-14,107473045.0,1.6806,1.6586182,1.6953131
2014-02-17,60441272.0,1.6733,1.6732962,1.7026522
2014-02-18,115920692.0,1.5999,1.5999061,1.6806351
2014-02-19,84461583.0,1.6146,1.592567,1.6219231
2014-02-20,79952391.0,1.6293,1.5999061,1.6366009
2014-02-21,64951202.0,1.6293,1.6219231,1.6439402
2014-02-24,50379272.0,1.6513,1.629262,1.6586182
2014-02-25,134854019.0,1.5999,1.592567,1.6366009
2014-02-26,112962216.0,1.5852,1.5558718,1.6219231
2014-02-27,96186349.0,1.6146,1.5705501,1.614584
