Date,Volume,Close,Min,Max
2021-08-20,283913.0,5.14,5.14,5.14
2021-08-23,5815070.0,5.65,5.65,5.65
2021-08-24,15539414.0,6.215,6.215,6.215
2021-08-25,1481515042.0,6.835,6.43,6.835
2021-08-26,588477322.0,6.155,6.155,6.86
2021-08-27,642539451.0,5.795,5.765,6.385
2021-08-31,275292464.0,5.77,5.7,6.105
2021-09-01,138708851.0,5.77,5.745,5.865
2021-09-02,497634358.0,5.75,5.7,5.94
2021-09-03,181837077.0,5.625,5.625,5.79
2021-09-06,314647276.0,5.765,5.4,5.995
2021-09-07,214283680.0,5.35,5.32,5.825
2021-09-08,108427397.0,5.255,5.255,5.45
2021-09-09,179391452.0,5.315,5.25,5.555
2021-09-10,202713568.0,5.405,5.195,5.505
2021-09-13,363530642.0,5.945,5.425,5.945
2021-09-14,440718257.0,5.96,5.76,6.275
2021-09-15,223240896.0,6.165,5.905,6.25
2021-09-16,178367371.0,6.01,5.96,6.3
2021-09-17,87532676.0,5.87,5.865,6.08
2021-09-20,108486296.0,5.855,5.65,5.97
2021-09-21,137967880.0,6.1,5.89,6.16
2021-09-22,106532043.0,6.075,6.04,6.31
2021-09-23,256402815.0,6.53,6.09,6.675
2021-09-24,254953974.0,6.06,6.06,6.735
2021-09-27,204716709.0,6.305,6.13,6.5
2021-09-28,117676712.0,6.18,6.125,6.46
2021-09-29,72321139.0,6.195,6.15,6.275
2021-09-30,73193138.0,6.275,6.17,6.375
2021-10-01,58317223.0,6.195,6.19,6.335
2021-10-04,56750376.0,6.2,6.125,6.31
2021-10-05,91999706.0,6.19,6.16,6.31
2021-10-06,31877295.0,6.085,6.085,6.195
2021-10-07,78591474.0,6.445,6.05,6.69
2021-10-08,142924625.0,6.0,6.0,6.52
2021-10-11,220577590.0,5.4,5.4,6.145
2021-10-12,244221597.0,5.94,5.325,5.94
2021-10-13,278726014.0,5.725,5.725,6.225
2021-10-14,85712598.0,5.595,5.53,5.78
2021-10-15,124932298.0,5.6,5.58,5.915
2021-10-18,82819947.0,5.805,5.575,5.825
2021-10-19,40081143.0,5.725,5.7,5.895
2021-10-20,35736018.0,5.6,5.6,5.79
2021-10-21,37960884.0,5.535,5.505,5.72
2021-10-22,35567486.0,5.705,5.55,5.735
2021-10-25,40721104.0,5.6,5.595,5.765
2021-10-26,51741841.0,5.68,5.62,5.73
2021-10-27,66873420.0,5.7,5.635,5.755
2021-10-28,17336769.0,5.725,5.65,5.755
2021-11-01,20964457.0,5.655,5.645,5.78
2021-11-02,83887068.0,5.86,5.625,5.86
2021-11-03,89804584.0,5.745,5.5,5.965
2021-11-04,71592565.0,5.935,5.695,5.965
2021-11-05,168517981.0,5.85,5.85,6.355
2021-11-08,60247097.0,5.705,5.69,5.95
2021-11-09,32978161.0,5.625,5.625,5.775
2021-11-10,36650189.0,5.525,5.515,5.67
2021-11-11,53850671.0,5.38,5.37,5.64
2021-11-12,45921721.0,5.43,5.39,5.745
2021-11-15,50343666.0,5.515,5.45,5.595
2021-11-16,29377291.0,5.33,5.33,5.61
2021-11-17,15434293.0,5.41,5.345,5.455
2021-11-18,120955492.0,5.795,5.3,5.82
2021-11-19,147974665.0,6.37,5.76,6.37
2021-11-22,297606110.0,6.99,6.25,7.005
2021-11-23,75115911.0,6.295,6.295,6.9
2021-11-24,86641712.0,5.85,5.67,6.065
2021-11-25,61702956.0,5.75,5.73,6.03
2021-11-26,34861366.0,5.59,5.555,5.81
2021-11-29,68994080.0,5.775,5.61,5.96
2021-11-30,34983246.0,5.71,5.675,5.86
2021-12-01,28062942.0,5.715,5.695,5.905
2021-12-02,32744595.0,5.73,5.72,5.85
2021-12-03,50172978.0,5.7,5.635,5.83
2021-12-06,33835500.0,5.725,5.65,5.775
2021-12-07,84113399.0,5.92,5.77,6.075
2021-12-08,123504473.0,5.33,5.33,5.97
2021-12-09,153624282.0,5.24,5.005,5.53
2021-12-10,62797244.0,5.245,5.2,5.49
2021-12-13,62937618.0,5.125,5.1,5.3
2021-12-14,43261609.0,4.995,4.995,5.19
2021-12-15,63999587.0,4.8125,4.8075,5.025
2021-12-16,76459579.0,4.9225,4.84,5.125
2021-12-17,101873736.0,4.4325,4.4325,5.045
2021-12-20,48141716.0,4.205,4.005,4.5125
2021-12-21,36044987.0,4.25,4.1275,4.485
2021-12-22,21609785.0,4.2,4.195,4.3
2021-12-23,23841120.0,4.235,4.175,4.2825
2021-12-24,29384654.0,4.2125,4.185,4.2925
2021-12-27,62655471.0,4.145,4.1175,4.3925
2021-12-28,51740930.0,4.0625,4.0475,4.2925
2021-12-29,87249336.0,4.3,4.09,4.3875
2021-12-30,30540501.0,4.2125,4.1975,4.3425
2021-12-31,34576522.0,4.275,4.205,4.3225
2022-01-03,69410210.0,4.525,4.315,4.6225
2022-01-04,40145859.0,4.455,4.425,4.59
2022-01-05,29456190.0,4.5,4.45,4.545
2022-01-06,60639689.0,4.5175,4.4525,4.725
2022-01-07,26790910.0,4.45,4.4275,4.5575
2022-01-10,38484044.0,4.4525,4.4525,4.6125
2022-01-11,39051273.0,4.43,4.4025,4.5425
2022-01-12,18280667.0,4.385,4.3775,4.4675
2022-01-13,15849882.0,4.315,4.31,4.395
2022-01-14,15763701.0,4.3425,4.3,4.385
2022-01-17,14588356.0,4.375,4.36,4.4225
2022-01-18,59083419.0,4.2625,4.2625,4.5225
2022-01-19,22788334.0,4.31,4.2,4.33
2022-01-20,52572647.0,4.45,4.27,4.515
2022-01-21,29940105.0,4.4125,4.36,4.505
2022-01-24,31539517.0,4.275,4.2625,4.5
2022-01-25,18769172.0,4.285,4.265,4.3425
2022-01-26,17677861.0,4.2775,4.2775,4.3375
2022-01-27,16292445.0,4.3225,4.25,4.3325
2022-01-28,30906964.0,4.27,4.265,4.3625
2022-01-31,76181218.0,4.4975,4.3,4.525
2022-02-01,29676006.0,4.43,4.405,4.5475
2022-02-02,70419624.0,4.5225,4.4225,4.5925
2022-02-03,163257562.0,4.6275,4.525,4.9125
2022-02-04,61796794.0,4.71,4.6275,4.77
2022-02-07,38319417.0,4.7475,4.7125,4.8225
2022-02-08,45721007.0,4.65,4.595,4.7625
2022-02-09,36431066.0,4.59,4.575,4.6875
2022-02-10,21526816.0,4.5575,4.5575,4.6225
2022-02-11,21622473.0,4.5475,4.4725,4.58
2022-02-14,24458626.0,4.4375,4.38,4.55
2022-02-15,40450427.0,4.515,4.46,4.6325
2022-02-16,34867596.0,4.585,4.5225,4.6325
2022-02-17,61573911.0,4.52,4.51,4.785
2022-02-18,66841370.0,4.6675,4.48,4.76
2022-02-21,59362111.0,4.7,4.6625,4.835
2022-02-22,62866008.0,4.6325,4.53,4.74
2022-02-23,43287576.0,4.58,4.58,4.775
2022-02-24,31326914.0,4.1225,4.1225,4.345
2022-02-25,54591769.0,4.5325,4.105,4.5325
2022-02-28,49318046.0,4.6175,4.43,4.6925
2022-03-01,68981636.0,4.77,4.6425,4.85
2022-03-02,31726659.0,4.59,4.575,4.79
2022-03-03,30560048.0,4.6,4.5825,4.7
2022-03-04,24081053.0,4.505,4.5,4.635
2022-03-07,20177040.0,4.45,4.4125,4.54
2022-03-08,14429806.0,4.425,4.4175,4.4925
2022-03-09,21761349.0,4.485,4.4375,4.555
2022-03-10,17024013.0,4.455,4.4375,4.5525
2022-03-11,17770099.0,4.5125,4.46,4.5325
2022-03-14,13096608.0,4.51,4.5025,4.5525
2022-03-15,17109714.0,4.4975,4.49,4.5625
2022-03-16,14640176.0,4.445,4.44,4.53
2022-03-17,9272023.0,4.4825,4.4625,4.5125
2022-03-18,28133734.0,4.535,4.4825,4.5425
2022-03-21,24160189.0,4.6325,4.5625,4.6575
2022-03-22,15770284.0,4.6025,4.575,4.6425
2022-03-23,26050475.0,4.5675,4.5125,4.62
2022-03-24,48675235.0,4.515,4.515,4.6175
2022-03-25,38446915.0,4.5575,4.54,4.63
2022-03-28,43359767.0,4.6575,4.5875,4.73
2022-03-29,123746648.0,4.955,4.665,4.9925
2022-03-30,41477327.0,4.81,4.7975,5.015
2022-03-31,37103298.0,4.705,4.6875,4.8375
2022-04-01,23130248.0,4.675,4.6675,4.7375
2022-04-04,32032930.0,4.7125,4.6375,4.8025
2022-04-05,30442781.0,4.6875,4.68,4.77
2022-04-06,72699032.0,4.775,4.72,4.8725
2022-04-07,37692469.0,4.855,4.78,4.8725
2022-04-08,97148091.0,5.07,4.9,5.15
2022-04-11,52671432.0,4.975,4.945,5.09
