Date,Volume,Close,Min,Max
2013-12-16,15064597.0,4.23,4.21,4.26
2013-12-17,37333526.0,3.68,3.68,4.18
2013-12-18,32798554.0,3.65,3.44,3.74
2013-12-19,22348839.0,3.44,3.38,3.67
2013-12-20,21356850.38,3.38,3.35,3.51
2013-12-23,64733347.0,3.0,2.82,3.35
2013-12-24,50312056.0,3.29,3.04,3.34
2013-12-25,87004195.0,3.26,3.24,3.62
2013-12-26,63575683.0,3.31,3.17,3.56
2013-12-27,55906921.0,3.11,2.97,3.38
2013-12-30,58325653.45,3.26,3.12,3.32
2013-12-31,53614001.0,3.12,3.0,3.43
2014-01-02,60754667.0,2.88,2.81,3.12
2014-01-03,33413101.0,2.9,2.84,3.03
2014-01-06,42051718.0,3.04,2.87,3.08
2014-01-07,56340095.0,3.13,2.99,3.16
2014-01-08,220031955.0,3.27,3.12,3.37
2014-01-09,29061733.0,3.13,3.12,3.27
2014-01-10,65904239.0,3.19,3.14,3.31
2014-01-13,27998216.0,3.17,3.17,3.25
2014-01-14,14600055.0,3.13,3.08,3.14
2014-01-15,23468332.0,3.12,3.1,3.18
2014-01-16,15184065.0,3.0,3.0,3.11
2014-01-17,13839128.0,2.86,2.86,3.04
2014-01-20,7981898.0,2.77,2.75,2.83
2014-01-21,23412549.0,2.83,2.8,2.91
2014-01-22,18641936.0,2.82,2.8,2.9
2014-01-23,11552884.0,2.7,2.7,2.81
2014-01-24,14993642.0,2.62,2.58,2.74
2014-01-27,80932961.0,2.71,2.52,2.83
2014-01-28,29920007.0,2.56,2.56,2.75
2014-01-29,33133270.0,2.36,2.28,2.64
2014-01-30,30173760.0,2.35,2.25,2.42
2014-01-31,15793925.0,2.27,2.27,2.4
2014-02-03,11964756.0,2.22,2.21,2.3
2014-02-04,67767498.0,2.33,2.13,2.4
2014-02-05,93706479.0,2.61,2.33,2.64
2014-02-06,70068264.0,2.8,2.64,2.82
2014-02-07,71527647.0,2.89,2.79,2.97
2014-02-10,66186894.0,2.92,2.83,3.01
2014-02-11,32622054.0,2.84,2.84,2.98
2014-02-12,34067998.0,2.76,2.76,2.89
2014-02-13,26182055.0,2.68,2.66,2.74
2014-02-14,50224882.0,2.82,2.68,2.9
2014-02-17,22116251.0,2.85,2.83,2.9
2014-02-18,19787771.0,2.76,2.76,2.87
2014-02-19,18137286.0,2.81,2.74,2.82
2014-02-20,13263071.0,2.77,2.76,2.82
2014-02-21,8058597.0,2.75,2.75,2.8
2014-02-24,8666131.0,2.75,2.75,2.8
2014-02-25,16680171.0,2.54,2.51,2.68
2014-02-26,13288730.0,2.46,2.44,2.63
2014-02-27,35226353.0,2.57,2.35,2.61
2014-02-28,17198988.0,2.53,2.49,2.61
2014-03-03,6823669.0,2.42,2.42,2.52
2014-03-04,6967195.0,2.47,2.45,2.51
2014-03-05,18963661.0,2.5,2.47,2.57
2014-03-06,12621899.0,2.55,2.5,2.57
2014-03-07,22179560.0,2.48,2.47,2.63
2014-03-10,40383109.0,2.52,2.48,2.61
2014-03-11,25472161.0,2.62,2.53,2.62
2014-03-12,12449041.0,2.57,2.55,2.63
2014-03-13,40894986.0,2.58,2.5,2.71
2014-03-14,13927747.0,2.61,2.57,2.65
2014-03-17,6795372.0,2.64,2.62,2.67
2014-03-18,5478660.0,2.65,2.61,2.67
2014-03-19,16154251.0,2.66,2.64,2.76
2014-03-20,12247955.0,2.68,2.65,2.73
2014-03-21,16841000.0,2.64,2.63,2.75
2014-03-24,5516274.0,2.53,2.53,2.66
2014-03-25,14988767.0,2.53,2.49,2.61
2014-03-26,14611124.0,2.62,2.58,2.63
2014-03-27,20491510.0,2.52,2.42,2.6
2014-03-28,10179008.0,2.52,2.49,2.58
2014-03-31,15236032.0,2.43,2.35,2.52
2014-04-01,7747283.0,2.45,2.43,2.48
2014-04-02,20896234.0,2.53,2.44,2.59
2014-04-03,9821580.0,2.54,2.54,2.58
2014-04-04,12600665.0,2.56,2.52,2.57
2014-04-07,24493234.0,2.67,2.58,2.71
2014-04-08,40985505.0,2.75,2.7,2.83
2014-04-09,12284442.0,2.71,2.7,2.8
2014-04-10,12713097.0,2.73,2.73,2.81
2014-04-11,9492308.0,2.7,2.68,2.76
2014-04-14,25067383.0,2.76,2.7,2.81
2014-04-15,7935995.0,2.7,2.69,2.79
2014-04-16,11249035.0,2.75,2.71,2.78
2014-04-17,9237528.0,2.76,2.75,2.8
2014-04-18,10826071.0,2.77,2.76,2.82
2014-04-21,3588600.0,2.75,2.75,2.79
2014-04-22,6315086.0,2.76,2.75,2.78
2014-04-24,19359118.0,2.8,2.76,2.82
2014-04-25,16371211.0,2.78,2.78,2.86
2014-04-28,11473678.02,2.74,2.72,2.8
2014-04-29,6026113.0,2.74,2.74,2.78
2014-04-30,16261125.0,2.68,2.6,2.74
2014-05-02,9086678.0,2.65,2.65,2.71
2014-05-05,4478354.0,2.61,2.6,2.66
2014-05-06,6885135.0,2.59,2.58,2.66
2014-05-07,3941310.0,2.58,2.55,2.61
2014-05-08,4261017.0,2.58,2.57,2.63
2014-05-09,5253500.0,2.63,2.59,2.64
2014-05-12,7219397.0,2.62,2.61,2.66
2014-05-13,2791172.0,2.62,2.6,2.64
2014-05-14,4645816.0,2.58,2.58,2.65
2014-05-15,3633624.0,2.57,2.56,2.62
2014-05-16,2575787.0,2.58,2.53,2.58
2014-05-20,3142957.0,2.55,2.54,2.6
2014-05-21,2304462.0,2.57,2.55,2.59
2014-05-22,5756425.0,2.61,2.58,2.63
2014-05-23,4630499.0,2.6,2.59,2.64
