Date,Volume,Close,Min,Max
2013-12-16,4620397.0,3.78,3.75,3.8
2013-12-17,21641480.0,3.33,3.25,3.74
2013-12-18,33355688.0,3.22,3.08,3.28
2013-12-19,22221193.0,3.01,3.01,3.22
2013-12-20,16341414.32,2.94,2.91,3.06
2013-12-23,56923216.0,2.58,2.44,2.79
2013-12-24,58379868.0,2.76,2.59,2.82
2013-12-25,150032402.0,2.69,2.67,3.05
2013-12-26,56721823.0,2.76,2.67,2.9
2013-12-27,37124067.0,2.55,2.47,2.81
2013-12-30,73408307.55,2.65,2.44,2.72
2013-12-31,66262919.0,2.42,2.4,2.75
2014-01-02,48924761.0,2.18,2.14,2.42
2014-01-03,31713584.0,2.22,2.16,2.3
2014-01-06,41396569.0,2.38,2.22,2.4
2014-01-07,39377917.0,2.53,2.36,2.54
2014-01-08,109965969.0,2.74,2.55,2.8
2014-01-09,34020620.0,2.6,2.59,2.79
2014-01-10,117488080.0,2.74,2.62,2.85
2014-01-13,39761490.0,2.71,2.71,2.8
2014-01-14,24852655.0,2.62,2.61,2.65
2014-01-15,28016812.0,2.6,2.59,2.67
2014-01-16,28159023.0,2.49,2.46,2.57
2014-01-17,24038442.0,2.4,2.4,2.52
2014-01-20,16679445.0,2.28,2.26,2.36
2014-01-21,35947362.0,2.39,2.31,2.43
2014-01-22,18409412.0,2.4,2.39,2.46
2014-01-23,16986130.0,2.34,2.29,2.4
2014-01-24,21188959.0,2.35,2.27,2.39
2014-01-27,54630506.0,2.4,2.29,2.54
2014-01-28,20379606.0,2.32,2.31,2.45
2014-01-29,20788667.0,2.18,2.08,2.37
2014-01-30,16267469.0,2.22,2.11,2.23
2014-01-31,14818106.0,2.18,2.16,2.27
2014-02-03,9555311.0,2.15,2.14,2.23
2014-02-04,51741428.0,2.22,2.09,2.27
2014-02-05,83679248.0,2.36,2.21,2.4
2014-02-06,47272141.0,2.47,2.36,2.48
2014-02-07,47703222.0,2.48,2.43,2.58
2014-02-10,25736069.0,2.46,2.45,2.52
2014-02-11,12789651.0,2.42,2.42,2.5
2014-02-12,13468186.0,2.41,2.39,2.47
2014-02-13,8224950.0,2.35,2.35,2.39
2014-02-14,18845636.0,2.4,2.36,2.43
2014-02-17,8197794.0,2.41,2.41,2.44
2014-02-18,19208912.0,2.3,2.3,2.41
2014-02-19,9375684.0,2.29,2.28,2.33
2014-02-20,5982650.0,2.3,2.24,2.31
2014-02-21,6493418.0,2.29,2.28,2.33
2014-02-24,8116657.0,2.31,2.29,2.33
2014-02-25,9034977.0,2.21,2.2,2.27
2014-02-26,8635566.0,2.17,2.15,2.25
2014-02-27,20365569.0,2.35,2.15,2.37
2014-02-28,17473058.0,2.25,2.25,2.4
2014-03-03,6304499.0,2.22,2.21,2.3
2014-03-04,6593310.0,2.26,2.24,2.27
2014-03-05,11792560.0,2.32,2.26,2.33
2014-03-06,13749564.0,2.34,2.31,2.38
2014-03-07,14753417.0,2.29,2.28,2.36
2014-03-10,29127726.0,2.33,2.31,2.45
2014-03-11,20204776.0,2.39,2.35,2.43
2014-03-12,8343686.0,2.36,2.33,2.41
2014-03-13,21487447.0,2.32,2.27,2.43
2014-03-14,7753000.0,2.3,2.29,2.34
2014-03-17,4522312.0,2.3,2.29,2.34
2014-03-18,6668243.0,2.28,2.27,2.32
2014-03-19,8876355.0,2.27,2.26,2.33
2014-03-20,5350797.0,2.26,2.23,2.3
2014-03-21,5510089.0,2.26,2.22,2.28
2014-03-24,4252945.0,2.2,2.2,2.26
2014-03-25,10277411.0,2.21,2.17,2.25
2014-03-26,10677522.0,2.27,2.24,2.28
2014-03-27,12087142.0,2.21,2.17,2.24
2014-03-28,10537403.0,2.25,2.2,2.28
2014-03-31,19961738.0,2.2,2.05,2.23
2014-04-01,7717985.0,2.22,2.17,2.25
2014-04-02,22234320.0,2.27,2.2,2.34
2014-04-03,9991797.0,2.3,2.28,2.33
2014-04-04,18266449.0,2.33,2.28,2.34
2014-04-07,15630496.0,2.38,2.31,2.4
2014-04-08,40015246.0,2.4,2.39,2.48
2014-04-09,12587106.0,2.37,2.35,2.44
2014-04-10,11044717.0,2.42,2.37,2.42
2014-04-11,9944429.0,2.4,2.38,2.44
2014-04-14,34779068.0,2.49,2.4,2.56
2014-04-15,12444056.0,2.44,2.43,2.55
2014-04-16,13579042.0,2.52,2.44,2.54
2014-04-17,11584749.0,2.57,2.53,2.61
2014-04-18,10218802.0,2.59,2.58,2.65
2014-04-21,5354972.0,2.56,2.55,2.61
2014-04-22,6476608.0,2.57,2.56,2.6
2014-04-24,18197409.0,2.62,2.58,2.67
2014-04-25,11737921.0,2.61,2.6,2.66
2014-04-28,13095441.92,2.56,2.53,2.62
2014-04-29,6939956.0,2.59,2.58,2.64
2014-04-30,12272525.0,2.56,2.5,2.6
2014-05-02,8805659.0,2.55,2.55,2.63
2014-05-05,6174457.0,2.56,2.53,2.59
2014-05-06,6834513.0,2.48,2.48,2.58
2014-05-07,5778671.0,2.45,2.45,2.51
2014-05-08,4447785.0,2.48,2.46,2.5
2014-05-09,4092216.0,2.49,2.48,2.54
2014-05-12,7529542.0,2.51,2.48,2.54
2014-05-13,4334893.0,2.5,2.5,2.53
2014-05-14,9525083.0,2.45,2.43,2.54
2014-05-15,7271886.0,2.37,2.36,2.49
2014-05-16,8892575.0,2.29,2.28,2.38
2014-05-20,9817508.0,2.2,2.2,2.31
2014-05-21,8056431.0,2.25,2.2,2.27
2014-05-22,7683622.0,2.35,2.26,2.35
2014-05-23,7086381.0,2.33,2.31,2.37
2014-05-26,20382160.0,2.44,2.32,2.44
2014-05-27,17709760.0,2.49,2.44,2.54
2014-05-28,8918206.0,2.44,2.44,2.52
2014-05-29,5501944.0,2.46,2.45,2.48
2014-05-30,6506055.0,2.44,2.44,2.5
2014-06-02,4460332.0,2.46,2.44,2.48
2014-06-03,6303312.0,2.43,2.39,2.48
2014-06-04,6316529.0,2.4,2.39,2.45
2014-06-05,5083251.0,2.42,2.4,2.44
2014-06-06,7177760.0,2.44,2.42,2.45
2014-06-09,8043040.0,2.47,2.45,2.5
2014-06-10,6352142.0,2.47,2.46,2.5
2014-06-11,8735364.0,2.38,2.35,2.5
2014-06-12,8573942.0,2.43,2.3,2.44
2014-06-13,7441650.0,2.4,2.37,2.46
2014-06-16,13869011.0,2.44,2.38,2.46
2014-06-17,14897597.0,2.49,2.43,2.5
2014-06-18,42249280.0,2.63,2.5,2.64
2014-06-19,16311187.0,2.58,2.57,2.67
2014-06-20,3451638.0,2.57,2.56,2.61
2014-06-23,2587251.0,2.52,2.51,2.59
2014-06-24,7419520.0,2.55,2.49,2.59
2014-06-25,7073483.0,2.55,2.53,2.62
2014-06-26,3872584.0,2.52,2.5,2.57
2014-06-27,3208804.0,2.48,2.48,2.54
2014-06-30,7806752.0,2.57,2.48,2.57
2014-07-01,6410104.0,2.53,2.53,2.6
2014-07-02,4585580.0,2.5,2.4,2.55
2014-07-03,7821794.0,2.58,2.47,2.58
2014-07-04,3442133.0,2.54,2.54,2.59
2014-07-07,21384685.0,2.63,2.53,2.67
2014-07-08,10500711.0,2.58,2.58,2.66
2014-07-09,2581573.0,2.55,2.55,2.62
2014-07-10,20305069.0,2.72,2.56,2.74
2014-07-11,14309118.0,2.72,2.7,2.79
2014-07-14,15272778.0,2.73,2.7,2.84
2014-07-15,13207911.0,2.85,2.72,2.85
2014-07-16,5110729.0,2.81,2.8,2.85
2014-07-17,4502600.0,2.75,2.75,2.84
2014-07-18,2310771.0,2.75,2.74,2.79
2014-07-21,10279288.0,2.81,2.77,2.87
2014-07-22,7227048.0,2.74,2.73,2.84
2014-07-23,5328662.0,2.7,2.7,2.77
2014-07-24,2899203.0,2.66,2.66,2.73
2014-07-25,3835737.0,2.58,2.58,2.68
2014-07-31,4506857.0,2.54,2.53,2.65
2014-08-01,6137452.0,2.52,2.45,2.57
2014-08-04,2392510.0,2.53,2.51,2.55
2014-08-05,3533175.0,2.51,2.5,2.56
2014-08-06,8313634.0,2.42,2.42,2.52
2014-08-07,9305056.0,2.49,2.42,2.57
2014-08-08,4401770.0,2.49,2.44,2.52
2014-08-11,2541996.0,2.43,2.43,2.55
2014-08-12,1947342.0,2.48,2.42,2.48
2014-08-13,2753237.0,2.48,2.45,2.5
2014-08-14,1692116.0,2.48,2.47,2.51
2014-08-15,1881082.0,2.42,2.42,2.48
2014-08-18,2582545.0,2.42,2.38,2.44
2014-08-19,2505657.0,2.42,2.41,2.47
2014-08-20,3395261.0,2.38,2.36,2.45
2014-08-21,1612152.0,2.36,2.36,2.4
2014-08-22,1319145.0,2.35,2.34,2.39
2014-08-25,2680750.0,2.31,2.31,2.36
2014-08-26,6316163.0,2.35,2.31,2.38
2014-08-27,8188596.0,2.28,2.25,2.39
2014-08-28,7106161.0,2.22,2.21,2.31
2014-08-29,8287481.0,2.26,2.22,2.29
2014-09-01,3085597.0,2.24,2.23,2.29
2014-09-02,5507358.0,2.28,2.23,2.28
2014-09-03,3726180.0,2.26,2.25,2.31
2014-09-04,2369208.0,2.26,2.25,2.27
2014-09-05,4278310.0,2.23,2.22,2.27
2014-09-08,4849134.0,2.19,2.19,2.25
2014-09-09,4772312.0,2.11,2.11,2.21
2014-09-10,11300234.0,2.05,2.0,2.13
2014-09-11,4744263.0,2.07,2.05,2.09
2014-09-12,2863504.0,2.05,2.04,2.09
2014-09-15,8486149.0,1.99,1.97,2.06
2014-09-16,22987588.0,1.8,1.73,2.0
2014-09-17,14220151.0,1.86,1.8,1.89
2014-09-18,21345660.0,1.81,1.8,1.93
2014-09-19,4644244.0,1.77,1.77,1.84
2014-09-22,8773204.0,1.69,1.67,1.79
