Date,Volume,Close,Min,Max
2013-12-16,949000.0,5.32,5.28,5.38
2013-12-17,1549094.0,4.8,4.7,5.26
2013-12-18,1243294.0,4.84,4.42,4.87
2013-12-19,1012050.0,4.66,4.52,4.8
2013-12-20,2672776.98,4.67,4.4,4.91
2013-12-23,1581240.0,4.68,4.55,4.76
2013-12-24,1558472.0,4.69,4.6,4.8
2013-12-25,1346376.0,4.36,4.36,4.75
2013-12-26,1245112.0,4.07,4.0,4.49
2013-12-27,4193520.0,3.69,3.42,4.16
2013-12-30,1018424.17,4.08,3.78,4.2
2013-12-31,2108132.0,4.01,3.79,4.26
2014-01-02,8434932.0,4.3,3.91,4.42
2014-01-03,2253921.0,4.13,4.1,4.35
2014-01-06,2975976.0,4.32,4.1,4.34
2014-01-07,2511291.0,4.32,4.25,4.39
2014-01-08,3376302.0,4.21,4.17,4.34
2014-01-09,929493.0,4.09,4.07,4.15
2014-01-10,1307594.0,4.15,4.06,4.17
2014-01-13,2677790.0,4.19,4.13,4.25
2014-01-14,3328390.0,4.26,4.12,4.32
2014-01-15,1462716.0,4.25,4.22,4.32
2014-01-16,2071753.0,4.22,4.1,4.35
2014-01-17,780588.0,4.12,4.12,4.29
2014-01-20,497006.0,4.07,4.02,4.14
2014-01-21,5343431.0,4.16,4.11,4.36
2014-01-22,1964888.0,4.2,4.16,4.26
2014-01-23,3786186.0,4.09,4.09,4.29
2014-01-24,1221668.0,4.05,4.01,4.14
2014-01-27,832414.0,4.09,4.03,4.12
2014-01-28,767794.0,4.04,4.04,4.14
2014-01-29,1255382.0,3.92,3.8,4.14
2014-01-30,712776.0,3.96,3.87,4.0
2014-01-31,495310.0,3.89,3.88,3.98
2014-02-03,511431.0,3.88,3.87,3.95
2014-02-04,1306204.0,3.89,3.81,3.95
2014-02-05,1469431.0,3.87,3.87,3.98
2014-02-06,6617809.0,4.01,3.9,4.16
2014-02-07,1122745.0,3.97,3.96,4.04
2014-02-10,1925475.0,4.01,3.92,4.04
2014-02-11,1887955.0,4.07,4.02,4.13
2014-02-12,21068625.0,4.7,4.11,4.8
2014-02-13,17988978.0,4.94,4.72,5.26
2014-02-14,10738435.0,4.94,4.8,5.24
2014-02-17,6754082.0,5.04,4.99,5.2
2014-02-18,3175076.0,4.9,4.88,5.1
2014-02-19,7242186.0,5.04,4.86,5.16
2014-02-20,2569487.0,4.95,4.9,5.04
2014-02-21,2772625.0,4.9,4.85,5.05
2014-02-24,7155102.0,4.98,4.91,5.13
2014-02-25,3140471.0,4.62,4.62,4.88
2014-02-26,2930632.0,4.53,4.46,4.77
2014-02-27,11028415.0,4.22,4.04,4.55
2014-02-28,5069533.0,4.25,4.23,4.47
2014-03-03,5198703.0,4.05,4.05,4.24
2014-03-04,1748941.0,4.14,4.12,4.2
2014-03-05,1436453.0,4.1,4.09,4.19
2014-03-06,1166436.0,4.1,4.09,4.16
2014-03-07,4875071.0,4.09,4.08,4.31
2014-03-10,903839.0,4.04,4.03,4.12
2014-03-11,903281.0,4.04,4.03,4.1
2014-03-12,1055306.0,3.99,3.92,4.02
2014-03-13,1612587.0,3.97,3.95,4.13
2014-03-14,616703.0,3.95,3.95,4.02
2014-03-17,1119338.0,3.99,3.97,4.04
2014-03-18,1161292.0,4.05,3.99,4.07
2014-03-19,1660300.0,4.0,3.99,4.09
2014-03-20,804848.0,3.98,3.98,4.04
2014-03-21,855395.0,3.94,3.88,4.0
2014-03-24,3709897.0,3.88,3.88,4.09
2014-03-25,729628.0,3.92,3.91,3.97
2014-03-26,1034565.0,3.98,3.95,4.01
2014-03-27,1631069.0,4.0,3.98,4.06
2014-03-28,2054137.0,4.0,4.0,4.09
2014-03-31,1010229.0,4.03,4.0,4.08
2014-04-01,2411612.0,4.09,4.03,4.14
2014-04-02,1646498.0,4.11,4.06,4.16
2014-04-03,2166557.0,4.12,4.12,4.19
2014-04-04,4370926.0,4.23,4.12,4.28
2014-04-07,11162257.0,4.45,4.22,4.6
2014-04-08,3816975.0,4.4,4.35,4.54
2014-04-09,2441407.0,4.32,4.28,4.43
2014-04-10,992867.0,4.34,4.33,4.38
2014-04-11,2617117.0,4.23,4.21,4.31
2014-04-14,3747632.0,4.36,4.23,4.41
2014-04-15,2236614.0,4.28,4.28,4.43
2014-04-16,1386766.0,4.31,4.25,4.37
2014-04-17,3266546.0,4.42,4.33,4.45
2014-04-18,3047398.0,4.46,4.42,4.54
2014-04-21,6191365.0,4.65,4.44,4.72
2014-04-22,3292539.0,4.61,4.6,4.76
2014-04-24,4696973.0,4.61,4.48,4.67
2014-04-25,2865328.0,4.52,4.49,4.7
2014-04-28,3588573.12,4.45,4.44,4.56
2014-04-29,7120369.0,4.52,4.45,4.65
2014-04-30,2520436.0,4.48,4.46,4.55
2014-05-02,1520637.0,4.45,4.43,4.51
2014-05-05,766317.0,4.46,4.43,4.49
2014-05-06,2170282.0,4.49,4.47,4.57
2014-05-07,4400917.0,4.56,4.49,4.64
2014-05-08,3477221.0,4.56,4.56,4.68
2014-05-09,2100179.0,4.52,4.5,4.58
2014-05-12,1954942.0,4.49,4.45,4.57
2014-05-13,1547811.0,4.5,4.44,4.56
2014-05-14,5122178.0,4.46,4.44,4.65
2014-05-15,1458402.0,4.34,4.27,4.49
2014-05-16,586476.0,4.29,4.27,4.38
2014-05-20,472706.0,4.24,4.24,4.33
2014-05-21,1594150.0,4.3,4.24,4.36
2014-05-22,2121938.0,4.34,4.28,4.37
2014-05-23,3133717.0,4.35,4.31,4.47
2014-05-26,2200833.0,4.34,4.33,4.4
2014-05-27,8759783.0,4.49,4.35,4.51
2014-05-28,3918507.0,4.47,4.44,4.55
2014-05-29,1614245.0,4.46,4.44,4.51
2014-05-30,1409179.0,4.39,4.39,4.5
2014-06-02,808078.0,4.31,4.3,4.4
2014-06-03,1161552.0,4.33,4.3,4.39
2014-06-04,680620.0,4.3,4.3,4.35
2014-06-05,657717.0,4.35,4.3,4.35
