Date,Volume,Close,Min,Max
2020-06-01,76977518.0,6.01,5.95,6.14
2020-06-02,470037254.0,6.17,6.01,6.29
2020-06-03,107177487.0,6.19,6.17,6.29
2020-06-04,82262764.0,6.13,6.12,6.22
2020-06-05,45856622.0,6.07,6.05,6.17
2020-06-08,197532657.0,6.02,6.0,6.21
2020-06-09,55496414.0,5.97,5.89,6.05
2020-06-10,48011642.0,6.0,5.96,6.05
2020-06-11,93656017.0,6.02,5.96,6.12
2020-06-12,63524755.0,6.03,5.95,6.06
2020-06-15,99676386.0,6.05,5.99,6.11
2020-06-16,95151887.0,6.12,6.07,6.16
2020-06-17,78770767.0,6.1,6.09,6.18
2020-06-18,53018752.0,6.11,6.08,6.15
2020-06-19,75436279.0,6.19,6.08,6.19
2020-06-22,556362998.0,6.77,6.23,6.8
2020-06-23,295889744.0,6.74,6.62,7.07
2020-06-24,76189933.0,6.64,6.6,6.79
2020-06-25,88355310.0,6.45,6.45,6.6
2020-06-26,126551289.0,6.66,6.5,6.79
2020-06-29,93945584.0,6.75,6.67,6.81
2020-06-30,196371214.0,7.08,6.8,7.08
2020-07-01,359242910.0,7.6,7.12,7.78
2020-07-02,254990483.0,8.08,7.61,8.19
2020-07-03,199563000.0,8.41,8.17,8.59
2020-07-06,278367147.0,9.25,8.6,9.25
2020-07-07,583216701.0,9.87,9.12,10.17
2020-07-08,331715623.0,9.42,9.31,10.24
2020-07-09,333220559.0,8.68,8.65,9.52
2020-07-10,176613676.0,8.45,8.14,8.67
2020-07-13,350525509.0,9.29,8.67,9.29
2020-07-14,355647662.0,9.25,9.07,9.73
2020-07-16,166418366.0,8.99,8.99,9.55
2020-07-17,241003385.0,9.13,8.73,9.29
2020-07-20,196125413.0,8.99,8.9,9.22
2020-07-21,722864261.0,9.1,8.96,9.57
2020-07-22,236471527.0,8.95,8.88,9.36
2020-07-23,118574978.0,8.91,8.91,9.13
2020-07-24,115251434.0,8.8,8.76,8.94
2020-07-27,87781663.0,8.67,8.67,8.98
2020-07-28,165116465.0,8.2,8.2,8.8
2020-07-29,121372858.0,8.34,7.95,8.43
2020-07-30,29363421.0,8.31,8.23,8.44
2020-08-04,111946619.0,7.79,7.48,8.54
2020-08-05,165478324.0,8.1,7.5,8.27
2020-08-06,103608132.0,7.42,7.36,8.18
2020-08-07,139209474.0,7.66,6.76,7.68
2020-08-10,207291840.0,8.07,7.2,8.25
2020-08-11,143876687.0,8.13,7.8,8.37
2020-08-12,85431310.0,8.06,7.95,8.22
2020-08-13,64494815.0,7.82,7.8,8.13
2020-08-14,37997246.0,7.69,7.64,7.8
2020-08-17,64170031.0,7.65,7.51,7.81
2020-08-18,92317006.0,7.68,7.61,7.88
2020-08-19,96053856.0,7.84,7.71,7.87
2020-08-20,168770296.0,7.95,7.7,8.18
2020-08-21,73961580.0,7.67,7.67,8.11
2020-08-24,57314250.0,7.7,7.67,7.83
2020-08-25,58423550.0,7.44,7.37,7.79
2020-08-26,76491291.0,7.6,7.37,7.63
2020-08-27,191816901.0,7.76,7.63,8.05
2020-08-28,58706054.0,7.68,7.66,7.84
2020-08-31,53939099.0,7.54,7.53,7.81
2020-09-01,40244540.0,7.61,7.44,7.64
2020-09-02,92398773.0,7.69,7.58,7.8
2020-09-03,58575870.0,7.58,7.54,7.79
2020-09-04,108046979.0,7.75,7.58,7.81
2020-09-07,144746524.0,8.06,7.87,8.12
2020-09-08,79871420.0,7.89,7.89,8.14
2020-09-09,311981156.0,7.99,7.81,8.27
2020-09-10,97168581.0,7.94,7.93,8.13
2020-09-11,49375471.0,7.91,7.88,8.02
2020-09-14,49012834.0,7.95,7.89,8.01
2020-09-15,109721721.0,7.96,7.83,8.07
2020-09-16,130716694.0,8.02,7.97,8.12
2020-09-17,114157872.0,8.07,7.97,8.09
2020-09-18,141268696.0,8.08,8.08,8.19
2020-09-21,81061100.0,7.83,7.8,8.09
2020-09-22,48856163.0,7.77,7.69,7.85
2020-09-23,48650524.0,7.77,7.76,7.88
2020-09-24,46800746.0,7.75,7.71,7.81
2020-09-25,117787347.0,7.74,7.74,7.86
2020-09-28,60150194.0,7.71,7.7,7.8
2020-09-29,109582082.0,7.76,7.71,7.86
2020-09-30,148079622.0,7.92,7.8,8.0
2020-10-01,149765832.0,8.0,7.92,8.13
2020-10-02,77364005.0,7.95,7.95,8.08
2020-10-05,124642967.0,8.12,7.99,8.16
2020-10-06,106803926.0,8.0,8.0,8.18
2020-10-07,54615282.0,7.97,7.95,8.04
2020-10-08,173462059.0,7.96,7.87,8.16
2020-10-09,95371412.0,8.01,7.99,8.08
2020-10-12,234026623.0,8.2,8.03,8.25
2020-10-13,358972324.0,8.68,8.27,8.75
2020-10-14,209502447.0,8.44,8.41,8.82
2020-10-15,95042403.0,8.26,8.21,8.43
2020-10-16,105772091.0,8.44,8.3,8.49
2020-10-19,117740362.0,8.53,8.49,8.67
2020-10-20,119726640.0,8.53,8.37,8.56
2020-10-21,154390259.0,8.45,8.45,8.65
2020-10-22,145390782.0,8.51,8.38,8.58
2020-10-23,143497193.0,8.44,8.18,8.61
2020-10-26,152822953.0,7.6,7.6,8.4
2020-10-28,26583372.0,7.4,7.4,7.64
2020-10-30,280083008.0,7.34,7.09,7.96
2020-11-02,80904435.0,7.33,7.29,7.5
2020-11-03,60329399.0,7.3,7.2,7.42
2020-11-04,79317003.0,7.46,7.33,7.5
2020-11-05,87245809.0,7.52,7.44,7.58
2020-11-06,107064370.0,7.65,7.52,7.71
2020-11-09,221324045.0,8.19,7.72,8.29
2020-11-10,130155633.0,8.05,7.99,8.15
2020-11-11,180991659.0,8.2,8.1,8.3
2020-11-12,119182275.0,7.98,7.84,8.27
2020-11-13,71700670.0,8.02,7.88,8.07
2020-11-16,89753051.0,8.09,8.04,8.16
2020-11-17,79480284.0,7.9,7.9,8.11
2020-11-18,56364863.0,7.94,7.86,7.99
2020-11-19,70108225.0,7.93,7.84,8.04
2020-11-20,148611790.0,8.06,7.97,8.17
2020-11-23,128212752.0,8.0,7.93,8.17
2020-11-24,391448861.0,8.23,8.02,8.45
2020-11-25,163175212.0,8.08,8.07,8.38
2020-11-26,79201164.0,8.11,8.06,8.16
2020-11-27,371579932.0,8.23,8.09,8.46
2020-11-30,160113873.0,8.05,7.87,8.2
2020-12-01,272537646.0,8.2,7.96,8.33
2020-12-02,208738025.0,8.19,8.15,8.37
2020-12-03,105732895.0,8.09,8.07,8.28
2020-12-04,90291706.0,8.08,8.03,8.17
2020-12-07,113697948.0,8.08,8.05,8.2
2020-12-08,101465806.0,8.05,8.05,8.16
2020-12-09,106619934.0,8.05,8.05,8.16
2020-12-10,103981380.0,8.06,8.05,8.13
2020-12-11,97180311.0,8.0,7.93,8.08
2020-12-14,97980182.0,8.08,8.04,8.15
2020-12-15,71991054.0,8.04,8.03,8.11
2020-12-16,121122192.0,7.98,7.98,8.12
2020-12-17,60401351.0,8.01,7.99,8.06
2020-12-18,306713996.0,8.13,8.01,8.23
2020-12-21,269404388.0,8.07,8.03,8.27
2020-12-22,528959183.0,8.49,8.11,8.54
2020-12-23,666555746.0,8.48,8.43,9.08
2020-12-24,241379895.0,8.38,8.34,8.55
2020-12-25,399230705.0,8.68,8.39,8.77
2020-12-28,207310071.0,8.65,8.64,8.86
2020-12-29,152599611.0,8.47,8.46,8.71
2020-12-30,286691737.0,8.79,8.47,8.88
2020-12-31,217941267.0,8.78,8.69,8.92
2021-01-04,418927158.0,9.11,8.87,9.27
2021-01-05,320096842.0,8.93,8.84,9.3
2021-01-06,148987637.0,8.94,8.94,9.14
2021-01-07,276075276.0,9.18,8.97,9.22
2021-01-08,186244273.0,9.06,9.06,9.3
2021-01-11,201505355.0,8.85,8.75,9.16
2021-01-12,135669781.0,8.92,8.85,9.04
2021-01-13,159092183.0,8.88,8.86,9.11
2021-01-14,122932695.0,8.62,8.62,8.93
2021-01-15,155747548.0,8.63,8.5,8.8
2021-01-18,163015179.0,8.65,8.54,8.72
2021-01-19,199398055.0,8.85,8.69,8.86
2021-01-20,153514168.0,8.7,8.7,8.95
2021-01-21,266099432.0,8.75,8.72,8.96
2021-01-22,133707989.0,8.74,8.67,8.84
2021-01-25,422120311.0,8.92,8.77,9.06
2021-01-26,165823089.0,8.78,8.78,8.96
2021-01-27,190941462.0,8.17,8.15,8.88
2021-01-28,162940346.0,8.42,7.87,8.42
2021-01-29,140706870.0,8.23,8.19,8.41
2021-02-01,128863183.0,8.38,8.19,8.46
2021-02-02,141621428.0,8.39,8.35,8.56
2021-02-03,160706838.0,8.5,8.43,8.56
2021-02-04,130902149.0,8.57,8.47,8.64
2021-02-05,166483555.0,8.67,8.6,8.78
2021-02-08,158676997.0,8.65,8.59,8.76
2021-02-09,105946496.0,8.59,8.59,8.72
2021-02-10,89914121.0,8.54,8.54,8.68
2021-02-11,111126088.0,8.4,8.4,8.58
2021-02-12,103751330.0,8.27,8.21,8.39
2021-02-15,83936280.0,8.34,8.33,8.42
2021-02-16,250130090.0,8.46,8.34,8.7
2021-02-17,173385227.0,8.29,8.26,8.66
2021-02-18,100483494.0,8.29,8.27,8.38
2021-02-19,91168830.0,8.27,8.21,8.35
2021-02-22,109089385.0,8.17,8.17,8.34
2021-02-23,158527864.0,7.85,7.84,8.24
2021-02-24,86288234.0,7.61,7.61,7.92
2021-02-25,128769612.0,7.7,7.53,7.95
2021-02-26,65029873.0,7.56,7.43,7.65
2021-03-01,51841741.0,7.89,7.65,7.89
2021-03-02,46341230.0,7.82,7.79,7.94
2021-03-03,60716161.0,7.8,7.79,7.95
2021-03-04,50355054.0,7.87,7.76,7.87
2021-03-05,115467294.0,8.26,7.77,8.34
2021-03-08,139621869.0,8.03,8.03,8.33
2021-03-09,61594563.0,8.07,8.03,8.11
2021-03-10,60920870.0,8.05,8.04,8.15
2021-03-11,87851551.0,7.95,7.92,8.16
2021-03-12,61767729.0,7.94,7.78,7.99
2021-03-15,75505803.0,7.93,7.86,8.03
2021-03-16,99613915.0,8.13,7.95,8.16
2021-03-17,86204657.0,7.9,7.88,8.17
2021-03-18,64800911.0,7.83,7.8,7.97
2021-03-19,62788521.0,7.59,7.53,7.82
2021-03-22,50286053.0,6.84,6.84,7.25
2021-03-23,69175783.0,6.89,6.23,7.03
2021-03-24,64091077.0,7.37,6.94,7.38
2021-03-25,68672089.0,7.26,7.18,7.43
2021-03-26,52546852.0,7.04,6.97,7.32
2021-03-29,186426590.0,7.5,7.36,7.74
2021-03-30,77689061.0,7.18,7.04,7.41
2021-03-31,43381835.0,7.14,7.09,7.21
2021-04-01,44282420.0,7.21,7.14,7.22
2021-04-02,33891948.0,7.17,7.14,7.26
2021-04-05,140352158.0,7.29,7.17,7.55
2021-04-06,54100544.0,7.15,7.15,7.36
2021-04-07,96727792.0,7.32,7.09,7.38
2021-04-08,34086646.0,7.22,7.2,7.37
2021-04-09,30340694.0,7.08,7.04,7.22
2021-04-12,28920919.0,6.94,6.94,7.09
2021-04-13,26438118.0,7.02,6.86,7.06
2021-04-14,56042310.0,7.27,7.08,7.3
2021-04-15,30210366.0,7.12,7.08,7.25
2021-04-16,25052953.0,7.25,7.07,7.25
2021-04-19,26700350.0,7.05,7.04,7.25
2021-04-20,24749657.0,6.93,6.87,7.05
2021-04-21,22673024.0,6.83,6.71,6.95
