Date,Volume,Close,Min,Max
2013-12-16,20470070.0,39.7,39.4,39.8
2013-12-17,37695536.0,37.9,36.6,39.2
2013-12-18,78327053.0,37.2,35.3,37.9
2013-12-19,76794542.0,34.9,34.3,36.9
2013-12-20,90814905.2,34.5,33.9,35.6
2013-12-23,42669586.0,34.3,33.9,34.4
2013-12-24,47346794.0,37.0,34.2,37.0
2013-12-25,52601129.0,35.2,35.0,38.4
2013-12-26,60166899.0,35.7,34.7,36.6
2013-12-27,56416964.0,34.6,33.8,35.9
2013-12-30,107658883.3,37.2,34.8,37.3
2013-12-31,55079706.0,36.3,35.6,37.8
2014-01-02,33839641.0,36.2,35.3,36.3
2014-01-03,30547446.0,35.8,35.6,36.8
2014-01-06,45947796.0,37.3,35.6,37.4
2014-01-07,61886688.0,38.0,36.8,38.1
2014-01-08,49826990.0,37.5,37.3,38.6
2014-01-09,31297093.0,38.3,36.7,38.3
2014-01-10,61234181.0,39.4,38.2,39.6
2014-01-13,84734693.0,40.1,39.2,40.4
2014-01-14,90221192.0,38.6,38.3,40.0
2014-01-15,48833338.0,38.7,38.5,39.4
2014-01-16,32200348.0,38.0,37.7,38.6
2014-01-17,55337228.0,36.0,36.0,38.4
2014-01-20,73981148.0,35.4,34.6,36.7
2014-01-21,55932528.0,35.3,35.3,36.9
2014-01-22,56381129.0,35.6,35.2,36.2
2014-01-23,77210845.0,34.0,34.0,35.6
2014-01-24,66701835.0,33.4,33.1,34.4
2014-01-27,74202703.0,32.9,32.1,33.9
2014-01-28,44327492.0,32.2,32.2,33.6
2014-01-29,105403937.0,31.1,30.3,33.4
2014-01-30,117988650.0,29.9,29.8,31.2
2014-01-31,236621189.0,26.0,26.0,29.8
2014-02-03,431149451.0,27.5,24.5,28.6
2014-02-04,199175066.0,28.5,27.0,28.7
2014-02-05,171202018.0,30.1,28.4,30.7
2014-02-06,232820131.0,32.3,30.4,32.4
2014-02-07,278363922.0,31.0,30.2,32.8
2014-02-10,106026887.0,30.5,30.1,31.3
2014-02-11,173391080.0,31.6,30.6,31.9
2014-02-12,109792693.0,32.2,31.7,32.5
2014-02-13,88021362.0,31.3,31.3,32.1
2014-02-14,64433603.0,31.2,31.1,31.8
2014-02-17,75084033.0,31.3,30.9,31.7
2014-02-18,60318765.0,30.5,30.5,31.6
2014-02-19,118949044.0,29.0,28.7,30.6
2014-02-20,113321451.0,29.0,28.5,29.3
2014-02-21,135034325.0,30.2,29.3,30.6
2014-02-24,58547471.0,29.8,29.7,30.4
2014-02-25,72480472.0,28.4,28.0,29.1
2014-02-26,78305355.0,28.2,27.7,28.9
2014-02-27,69690216.0,28.3,27.5,28.7
2014-02-28,57166375.0,28.3,28.2,28.8
2014-03-03,37250841.0,27.5,27.5,28.0
2014-03-04,67749388.0,29.3,28.1,29.4
2014-03-05,95992450.0,28.8,28.0,28.9
2014-03-06,52853625.0,28.7,28.6,29.1
2014-03-07,46851059.0,27.6,27.6,28.8
2014-03-10,82606347.0,26.7,26.4,27.9
2014-03-11,49663941.0,26.6,26.6,27.25
2014-03-12,39172046.0,26.55,26.2,26.6
2014-03-13,60766371.0,26.85,26.65,27.25
2014-03-14,38763763.0,26.55,26.5,27.05
2014-03-17,35323704.0,26.8,26.7,27.0
2014-03-18,92960088.0,27.7,26.85,27.75
2014-03-19,82622598.0,27.1,27.1,28.0
2014-03-20,45296347.0,26.75,26.7,27.15
2014-03-21,41115237.0,26.5,26.25,26.75
