Date,Volume,Close,Min,Max
2013-12-16,151872965.0,7.24,7.14,7.28
2013-12-17,161422435.0,6.8,6.72,7.14
2013-12-18,185517566.0,6.92,6.42,6.94
2013-12-19,192983823.0,6.6,6.6,7.0
2013-12-20,131359299.84,6.6,6.58,6.78
2013-12-23,127010912.0,6.34,6.24,6.72
2013-12-24,117927272.0,6.58,6.34,6.58
2013-12-25,133617647.0,6.2,6.14,6.72
2013-12-26,184681791.0,6.0,5.94,6.36
2013-12-27,233020152.0,5.8,5.52,6.0
2013-12-30,259622014.28,6.36,5.92,6.4
2013-12-31,258223765.0,6.44,6.2,6.62
2014-01-02,194047048.0,6.36,6.25,6.44
2014-01-03,222156181.0,6.41,6.32,6.51
2014-01-06,279096553.0,6.71,6.36,6.73
2014-01-07,474554614.0,6.84,6.62,6.9
2014-01-08,360718248.0,6.79,6.74,6.95
2014-01-09,188630597.0,6.87,6.71,6.91
2014-01-10,306021580.0,7.11,6.88,7.14
2014-01-13,303984382.0,7.17,7.17,7.29
2014-01-14,355862483.0,7.22,7.05,7.23
2014-01-15,424074243.0,7.32,7.22,7.37
2014-01-16,290104869.0,7.18,7.17,7.36
2014-01-17,354342664.0,6.79,6.61,7.24
2014-01-20,347450465.0,7.01,6.73,7.07
2014-01-21,303825231.0,7.13,7.08,7.21
2014-01-22,275441124.0,7.26,7.16,7.31
2014-01-23,409491351.0,6.99,6.97,7.27
2014-01-24,391480337.0,7.07,6.83,7.15
2014-01-27,299339966.0,7.07,6.94,7.16
2014-01-28,197454653.0,6.92,6.91,7.15
2014-01-29,306615388.0,7.02,6.7,7.1
2014-01-30,248838310.0,6.98,6.9,7.06
2014-01-31,210564573.0,6.74,6.74,7.0
2014-02-03,82948061.0,6.75,6.72,6.83
2014-02-04,281865231.0,6.94,6.61,6.95
2014-02-05,215539355.0,6.99,6.96,7.08
2014-02-06,200746347.0,7.13,7.04,7.14
2014-02-07,184789318.0,7.04,7.04,7.16
2014-02-10,117013588.0,7.04,6.98,7.08
2014-02-11,159031335.0,7.01,6.97,7.11
2014-02-12,94991997.0,7.06,7.04,7.11
2014-02-13,244617649.0,7.18,7.02,7.22
2014-02-14,217103053.0,7.11,7.11,7.27
2014-02-17,157402143.0,7.07,7.07,7.18
2014-02-18,216429485.0,6.85,6.85,7.03
2014-02-19,174002137.0,6.78,6.67,6.85
2014-02-20,182371245.0,6.91,6.69,6.93
2014-02-21,179519481.0,6.85,6.77,6.93
2014-02-24,56118335.0,6.87,6.82,6.88
2014-02-25,89843006.0,6.66,6.61,6.72
2014-02-26,142882510.0,6.58,6.58,6.78
2014-02-27,115551190.0,6.54,6.48,6.59
2014-02-28,180827675.0,6.58,6.53,6.63
2014-03-03,138581812.0,6.34,6.33,6.5
2014-03-04,179233608.0,6.55,6.4,6.57
2014-03-05,160569701.0,6.55,6.52,6.61
2014-03-06,218627955.0,6.68,6.57,6.69
2014-03-07,287547049.0,6.31,6.31,6.58
2014-03-10,251060737.0,6.02,6.01,6.27
2014-03-11,241004364.0,6.09,6.04,6.16
2014-03-12,218917143.0,6.18,6.02,6.22
2014-03-13,184715108.0,6.28,6.19,6.32
2014-03-14,171770774.0,6.23,6.21,6.37
2014-03-17,128152436.0,6.29,6.27,6.34
2014-03-18,200136250.0,6.4,6.3,6.42
2014-03-19,298088789.0,6.13,6.08,6.41
2014-03-20,190066372.0,6.19,6.12,6.23
2014-03-21,100795007.0,6.14,6.12,6.21
2014-03-24,101131829.0,6.0,6.0,6.19
2014-03-25,143206518.0,6.09,6.01,6.14
2014-03-26,346157216.0,6.28,6.15,6.32
2014-03-27,366527203.0,6.2,6.16,6.39
2014-03-28,212976159.0,6.35,6.25,6.36
2014-03-31,362251075.0,6.59,6.49,6.68
2014-04-01,309397021.0,6.66,6.59,6.67
2014-04-02,467007354.0,6.84,6.69,6.88
2014-04-03,239670482.0,6.82,6.81,6.92
2014-04-04,265032763.0,6.83,6.76,6.88
2014-04-07,254889532.0,6.87,6.79,6.91
2014-04-08,308640980.0,6.91,6.89,6.95
2014-04-09,266833886.0,6.73,6.72,6.96
2014-04-10,192153864.0,6.75,6.73,6.82
2014-04-11,183471160.0,6.71,6.59,6.73
2014-04-14,207261244.0,6.78,6.67,6.8
2014-04-15,224558647.0,6.66,6.66,6.82
2014-04-16,326577354.0,6.72,6.57,6.74
2014-04-17,206154522.0,6.77,6.7,6.78
2014-04-18,142897767.0,6.84,6.8,6.87
2014-04-21,168081447.0,6.9,6.83,6.93
2014-04-22,156531735.0,6.82,6.82,6.93
2014-04-24,140862788.0,6.71,6.7,6.85
2014-04-25,203728755.0,6.54,6.52,6.73
2014-04-28,445257993.9,6.59,6.47,6.62
2014-04-29,214264073.0,6.56,6.56,6.66
2014-04-30,247211989.0,6.75,6.54,6.77
2014-05-02,392359973.0,6.75,6.74,6.86
2014-05-05,202019021.0,6.65,6.65,6.77
2014-05-06,249061631.0,6.69,6.65,6.75
2014-05-07,184319519.0,6.66,6.6,6.71
2014-05-08,345534552.0,6.76,6.64,6.77
2014-05-09,173158554.0,6.7,6.69,6.78
2014-05-12,331312829.0,6.8,6.69,6.8
2014-05-13,472313032.0,6.93,6.81,6.95
2014-05-14,588283463.0,7.08,6.9,7.1
2014-05-15,303066534.0,6.87,6.87,7.12
2014-05-16,194858673.0,6.89,6.81,6.93
2014-05-20,170614161.0,6.87,6.83,6.95
2014-05-21,276470873.0,6.97,6.87,7.01
2014-05-22,379462129.0,7.05,6.95,7.08
2014-05-23,353785986.0,7.05,7.05,7.14
