Date,Volume,Close,Min,Max
2013-12-16,2857606.0,1.4489,1.4410607,1.4725593
2013-12-20,10251652.72,1.3151,1.2678185,1.3308157
2013-12-24,1517954.0,1.3151,1.2914424,1.3229411
2014-01-03,1052103.0,1.2048,1.1811973,1.2126958
2014-01-22,2346280.0,1.1812,1.1654481,1.1890719
2014-01-29,2913999.0,1.0867,1.0788269,1.1496987
2014-02-03,2028726.0,1.1025,1.0867015,1.1182001
2014-02-07,1157769.0,1.1576,1.1339494,1.1654481
2014-02-11,922347.0,1.1733,1.141824,1.1811973
2014-02-26,939900.0,1.2048,1.1890719,1.2284452
2014-03-03,796532.0,1.2206,1.1969465,1.2284452
2014-03-12,3949353.0,1.3072,1.2678185,1.3150662
2014-03-20,1137370.0,1.3229,1.3071917,1.3386902
2014-04-03,2244403.0,1.3623,1.3544395,1.3859382
2014-04-16,1463100.0,1.3623,1.3308157,1.3701888
2014-04-24,2345887.0,1.4017,1.3938128,1.4410607
2014-04-28,24939732.24,1.4568,1.433186,1.5119325
2014-05-27,34759344.0,1.9844,1.9686621,2.0316591
2014-06-12,10190479.0,2.1183,1.992286,2.1182804
2014-06-16,4365976.0,2.0159,1.992286,2.0474086
2014-07-01,15453367.0,2.2128,2.1891522,2.2678988
2014-07-10,23578302.0,2.4175,2.417517,2.5277622
2014-07-15,36005152.0,2.5278,2.4805143,2.5828848
2014-07-23,67673196.0,2.8191,2.7167537,2.8506227
2014-08-19,18011755.0,3.331,3.2837286,3.3860989
2014-01-08,5251454.0,1.2127,1.1969465,1.2520692
2014-01-16,3743056.0,1.1969,1.1890719,1.2205704
2014-01-31,1339964.0,1.1025,1.0945761,1.1339494
2014-02-19,2955883.0,1.2442,1.2048212,1.2441945
2014-03-06,4265653.0,1.2993,1.275693,1.3229411
2014-03-27,1503329.0,1.2993,1.2993169,1.3308157
2014-03-31,1581743.0,1.3387,1.3150662,1.346565
2014-04-09,1979935.0,1.3466,1.3386902,1.3938128
2014-04-30,16686942.0,1.4883,1.4410607,1.5434312
2014-05-08,36246997.0,1.7718,1.6615509,1.7954198
2014-05-15,14270863.0,1.7167,1.7087989,1.7639213
2014-05-23,21883746.0,1.8348,1.7639213,1.8741665
2014-06-18,12829100.0,2.1419,2.086782,2.1655283
2014-06-26,3433175.0,2.0632,2.0631578,2.1340299
2014-06-30,34290730.0,2.2443,2.149779,2.260024
2014-08-01,50846336.0,3.1105,3.023865,3.204982
2014-08-05,46712653.0,3.4018,3.2837286,3.4018483
2014-08-14,28493036.0,3.2837,3.1262355,3.2994778
2014-08-18,15629639.0,3.3389,3.2758536,3.3467255
2014-09-04,20021658.0,3.4648,3.4490962,3.5042186
2014-09-08,19112393.0,3.4097,3.4097226,3.5120933
2014-09-15,28878139.0,3.4963,3.307352,3.496344
2014-09-19,52951848.0,3.8271,3.7877061,3.9058256
2014-09-23,42040976.0,4.0397,3.9058256,4.0633183
2014-10-23,40377900.0,5.6934,5.669747,5.8351145
2013-12-26,3387067.0,1.1812,1.1733227,1.275693
2013-12-30,5304925.29,1.2127,1.1339494,1.2205704
2014-01-06,3455339.0,1.2284,1.1890719,1.2363199
2014-01-10,8015907.0,1.2599,1.2441945,1.3229411
2014-01-14,3496442.0,1.2284,1.2048212,1.2284452
2014-02-13,547669.0,1.1497,1.1496987,1.1733227
2014-02-17,1450509.0,1.1969,1.1654481,1.2048212
2014-02-21,1179441.0,1.2678,1.2599437,1.2993169
2014-02-25,2272375.0,1.2048,1.141824,1.2284452
2014-03-25,705799.0,1.2757,1.2678185,1.2993169
2014-04-07,1636393.0,1.3702,1.3544395,1.3859382
2014-04-11,1396586.0,1.3387,1.3150662,1.346565
2014-04-15,2009804.0,1.3466,1.346565,1.3859382
2014-05-02,2479478.0,1.4883,1.480434,1.5119325
2014-05-06,1652545.0,1.5198,1.4961832,1.5276818
2014-05-13,17204237.0,1.7639,1.7402973,1.8269185
2014-05-21,8291862.0,1.7875,1.7639213,1.8190439
2014-06-05,11570160.0,2.1025,2.0946567,2.1340299
2014-06-09,21445252.0,2.1419,2.1419044,2.2049015
2014-06-20,5452348.0,2.1025,2.1025312,2.1419044
2014-06-24,11328326.0,2.1419,2.1025312,2.1576538
2014-09-02,38146144.0,3.52,3.3860989,3.5278425
2014-09-10,20052790.0,3.3546,3.2758536,3.3939736
2014-09-17,96923598.0,3.6932,3.5908396,3.850703
2014-09-25,55300358.0,4.3389,4.0790677,4.346806
2013-12-27,4367631.0,1.0946,1.0315789,1.1969465
2013-12-31,2108070.0,1.2206,1.1733227,1.2520692
2014-01-09,30063078.0,1.2993,1.1890719,1.3386902
2014-01-13,4747772.0,1.2442,1.2363199,1.275693
2014-01-17,2242038.0,1.1654,1.1654481,1.2126958
2014-01-30,3484747.0,1.1261,1.0709522,1.141824
2014-02-20,3154458.0,1.2836,1.2284452,1.2835677
2014-02-24,1506472.0,1.2836,1.2520692,1.2914424
2014-03-07,1497131.0,1.2678,1.2520692,1.3071917
2014-03-26,1678660.0,1.3229,1.2835677,1.3229411
2014-04-01,4087977.0,1.3466,1.3229411,1.3623142
2014-04-10,1055901.0,1.3544,1.346565,1.3701888
2014-04-14,1449175.0,1.3544,1.3229411,1.3623142
2014-05-05,1071460.0,1.4883,1.4725593,1.4961832
2014-05-14,9556941.0,1.7167,1.7009242,1.7717959
2014-05-22,5744020.0,1.7639,1.7560467,1.8032945
2014-06-04,34327729.0,2.0947,2.0631578,2.1419044
2014-06-25,6513927.0,2.1183,2.1025312,2.1340299
2014-08-06,111671141.0,3.142,3.141985,3.5908396
2014-08-13,23158836.0,3.1184,3.1104863,3.2837286
2014-09-05,15698695.0,3.4806,3.4412215,3.496344
2014-09-11,14741699.0,3.3703,3.3467255,3.4097226
2014-09-16,62055064.0,3.772,3.4490962,3.7877061
2014-09-24,79931440.0,4.0633,4.039695,4.197188
2014-10-15,154401456.0,5.4965,5.276014,5.9138613
2013-12-17,2474504.0,1.3544,1.3386902,1.4410607
2013-12-25,2437831.0,1.2442,1.2363199,1.3308157
2014-01-02,1326753.0,1.1891,1.1733227,1.2048212
2014-01-23,2739730.0,1.1497,1.141824,1.1890719
2014-01-28,2190133.0,1.1182,1.1103255,1.1496987
2014-02-04,1185331.0,1.1103,1.0788269,1.1182001
2014-02-12,740040.0,1.1654,1.1654481,1.1890719
2014-03-13,1269912.0,1.2993,1.2993169,1.3308157
2014-03-17,985497.0,1.3072,1.2914424,1.3150662
2014-03-21,1377421.0,1.3072,1.2993169,1.3308157
2014-04-04,1750327.0,1.3623,1.346565,1.3780636
2014-05-09,35659195.0,1.8505,1.7717959,1.8741665
2014-05-26,26557280.0,1.9844,1.8190439,2.0001605
2014-05-30,31509492.0,2.0238,2.0001605,2.0710325
2014-06-03,21385627.0,2.0868,2.0237846,2.1182804
2014-06-11,14778113.0,2.0317,2.0237846,2.1891522
2014-07-02,14025109.0,2.2758,2.1812775,2.283648
2014-07-07,43849269.0,2.5435,2.5041385,2.6537566
2014-07-11,19765426.0,2.4411,2.4253917,2.4962637
2014-07-14,13575646.0,2.4805,2.4490156,2.5041385
2014-07-18,40436850.0,2.7089,2.6143835,2.7246284
2014-07-22,28930798.0,2.7246,2.638007,2.7325032
2014-08-20,19304277.0,3.1971,3.197107,3.3388507
2014-08-28,48722084.0,3.2995,3.2837286,3.4805946
2014-09-01,21101460.0,3.4018,3.291603,3.4097226
2013-12-18,3712072.0,1.3544,1.2835677,1.3701888
2014-01-20,2080991.0,1.1497,1.141824,1.1733227
2014-01-24,2959439.0,1.1261,1.1024507,1.1575733
2014-01-27,1753368.0,1.1339,1.1103255,1.141824
2014-02-05,1804583.0,1.1261,1.1103255,1.141824
2014-03-05,2168675.0,1.2757,1.2678185,1.3150662
2014-03-10,5664422.0,1.3308,1.2520692,1.346565
2014-03-14,2286168.0,1.2836,1.2678185,1.3071917
2014-03-18,1089960.0,1.3229,1.2993169,1.3229411
2014-04-18,2695287.0,1.3781,1.3623142,1.4016875
2014-04-22,2811516.0,1.4174,1.3859382,1.433186
2014-05-29,19920884.0,1.9923,1.9529128,2.0159101
2014-06-02,24286171.0,2.0317,2.0001605,2.0474086
2014-06-10,10216452.0,2.1419,2.1261551,2.1812775
2014-07-03,36578613.0,2.3703,2.260024,2.393893
2014-07-08,34800384.0,2.512,2.5041385,2.6065087
2014-07-17,51104417.0,2.6459,2.5671353,2.6773803
2014-07-21,23971640.0,2.6301,2.622258,2.7403777
2014-07-25,28141032.0,2.8664,2.8506227,2.8978708
2014-08-08,53106724.0,3.3074,3.0711129,3.307352
2014-08-12,27315123.0,3.2522,3.2128568,3.37035
2014-08-21,14493080.0,3.2286,3.141985,3.2601044
2014-08-25,8500856.0,3.2129,3.197107,3.2522302
2014-08-29,22325894.0,3.2837,3.2837286,3.3467255
2014-10-01,146094162.0,5.15,4.9610286,5.26814
2013-12-19,5165596.0,1.2836,1.275693,1.3386902
2013-12-23,1623128.0,1.2914,1.2835677,1.3150662
2014-01-21,2720121.0,1.1654,1.1575733,1.1811973
2014-02-06,2723383.0,1.1576,1.1339494,1.1654481
2014-02-10,756618.0,1.1497,1.1260747,1.1496987
2014-02-27,1856417.0,1.2206,1.1890719,1.2441945
2014-02-28,717614.0,1.2284,1.2126958,1.2441945
2014-03-04,3685394.0,1.2836,1.2284452,1.2914424
2014-03-11,2271902.0,1.3072,1.3071917,1.346565
2014-03-19,2588517.0,1.3229,1.3071917,1.346565
2014-04-02,3147098.0,1.3466,1.346565,1.3780636
2014-04-17,977831.0,1.3623,1.3544395,1.3780636
2014-04-21,911830.0,1.3938,1.3701888,1.4016875
2014-04-25,2401853.0,1.3859,1.3780636,1.4174367
2014-04-29,1945269.0,1.4411,1.4410607,1.480434
2014-05-28,13208414.0,1.9372,1.9292887,2.0001605
2014-06-13,5442302.0,2.0632,2.0474086,2.1104057
2014-06-17,19648494.0,2.1262,2.0237846,2.1419044
2014-07-04,125174309.0,2.5908,2.3860185,2.638007
2014-07-09,35201015.0,2.5041,2.417517,2.535637
2014-07-16,25805476.0,2.5593,2.535637,2.5671353
2014-07-24,70226641.0,2.8349,2.7797508,2.9293694
2014-08-07,70647742.0,3.1262,3.0396142,3.2601044
2014-08-11,55065424.0,3.3152,3.2601044,3.4805946
2014-08-22,9401927.0,3.2129,3.197107,3.2758536
2014-10-10,109078422.0,5.6382,5.48863,5.7642426
2014-10-14,201564704.0,5.8272,5.60675,6.276095
2014-10-21,102636857.0,5.9375,5.874488,6.2445965
2014-12-04,30400172.0,5.2445,5.039775,5.331137
2014-12-08,24833053.0,5.2918,5.283889,5.614625
2015-01-07,10041390.0,5.0634,5.024026,5.118521
2015-01-22,6820947.0,4.7248,4.701165,4.819285
2015-01-26,24039161.0,4.4098,4.409803,4.59092
2015-02-12,16824777.0,4.7563,4.724789,4.795661
2015-02-18,126179314.0,5.1185,4.7562876,5.1342707
2015-02-25,331574219.0,6.41,6.260346,6.787947
2015-03-05,66171383.0,6.1344,5.898112,6.189474
2015-04-02,63079060.0,4.3311,4.3310566,4.464926
2015-04-06,74805514.0,4.4177,4.2444353,4.5357976
2015-04-10,39729648.0,4.4256,4.4255524,4.567296
2015-04-14,24018569.0,4.3153,4.2444353,4.3310566
2015-05-14,38571478.0,4.0318,4.023946,4.0790677
2015-05-18,20043116.0,4.0161,4.008196,4.0554442
2015-05-29,13558989.0,3.709,3.7010844,3.8192043
2015-06-02,17287844.0,3.5357,3.4569705,3.559341
2015-06-19,13808647.0,3.4648,3.4412215,3.5042186
2015-06-25,41603575.0,3.8271,3.7955806,3.9530737
2015-07-02,85322395.0,3.9767,3.9215748,4.086942
2015-07-06,47274727.0,4.0161,3.9294493,4.039695
2015-07-10,21782623.0,3.9373,3.9294493,4.008196
2014-08-27,83235969.0,3.4176,3.3782241,3.496344
2014-09-12,8763951.0,3.3389,3.3309765,3.4018483
2014-09-29,52871423.0,4.5752,4.4885497,4.6460423
2014-10-03,139136242.0,4.7642,4.228686,4.8035355
2014-11-03,59296755.0,5.906,5.8351145,5.9689837
2014-11-07,40198200.0,5.15,4.9216557,5.3153877
2014-11-12,23805504.0,5.3784,5.2366414,5.4571314
2014-11-17,21100966.0,5.0949,5.071274,5.283889
2014-11-21,35655693.0,5.3469,5.3390117,5.5595016
2014-11-25,15112556.0,5.3075,5.2366414,5.38626
2014-12-17,25549425.0,5.0713,4.6932907,5.1893935
2014-12-22,7819907.0,4.961,4.9216557,5.008277
2014-12-26,7433015.0,5.0398,5.039775,5.157895
2014-12-30,6861611.0,5.0162,4.9689035,5.0870233
2015-01-15,11057749.0,4.8114,4.8035355,5.039775
2015-01-19,29888120.0,4.8114,4.732664,5.0791483
2015-02-05,13787829.0,4.7169,4.7090397,4.787786
2015-02-09,104115989.0,4.898,4.7641625,5.024026
2015-03-12,42105908.0,5.5201,5.48863,5.7721176
2015-03-16,34756033.0,5.024,4.9374046,5.1500206
2015-03-26,39252044.0,4.6382,4.5357976,4.7641625
2015-03-30,18456884.0,4.7012,4.638168,4.748413
2015-04-21,28246819.0,4.3862,4.346806,4.394054
2015-04-30,24809080.0,4.3468,4.307432,4.4885497
2015-05-04,215619582.0,4.4885,4.3310566,4.701165
2014-09-26,157471258.0,4.5279,4.142065,4.6302934
2014-09-30,84807905.0,4.9453,4.598795,4.9452796
2014-10-08,90914569.0,5.1815,4.6460423,5.1972675
2014-10-16,61944870.0,5.4571,5.38626,5.6854963
2014-11-06,54289175.0,5.2366,5.1972675,5.7957416
2014-11-10,81382897.0,5.5438,5.173644,5.7169952
2014-11-11,44088307.0,5.3626,5.1815186,5.630374
2014-11-18,55218451.0,5.2288,4.9925275,5.394134
2014-11-26,7871602.0,5.2603,5.244516,5.378385
2014-12-18,15351702.0,5.0398,5.0319,5.1893935
2014-12-25,13479117.0,5.1421,5.142146,5.276014
2014-12-29,7421675.0,4.9847,4.9610286,5.0948973
2015-01-02,6367751.0,4.9374,4.92953,5.0319
2015-01-16,5587364.0,4.7405,4.724789,4.8586583
2015-02-04,25813506.0,4.7327,4.6775413,4.898031
2015-03-09,43811491.0,6.0871,5.9847326,6.1973486
2015-03-13,88926674.0,5.0162,4.9610286,5.417758
2015-03-17,95765495.0,5.3626,5.0319,5.3705106
2015-03-25,42654945.0,4.8508,4.8429093,5.1106467
2015-04-15,71933289.0,4.3783,4.2838087,4.4491763
2015-04-20,25305217.0,4.3626,4.354681,4.4334273
2015-04-24,26720295.0,4.4098,4.37043,4.4255524
2015-04-27,110171178.0,4.4964,4.409803,4.638168
2015-05-05,71831332.0,4.2681,4.2601852,4.4255524
2015-05-27,9297366.0,3.7956,3.748333,3.850703
2014-10-20,100094897.0,6.1029,5.937485,6.205223
2014-10-24,140435700.0,5.8981,5.7012453,6.04773
2014-10-28,81423470.0,5.8351,5.7957416,5.9453597
2014-11-14,19858411.0,5.2288,5.2130175,5.346886
2014-11-27,10383345.0,5.2524,5.244516,5.3232627
2014-12-01,15462352.0,5.213,5.118521,5.2917643
2014-12-05,73541493.0,5.5516,5.276014,5.6933713
2014-12-09,22703811.0,5.1736,5.173644,5.449257
2015-01-08,24236325.0,5.0634,5.024026,5.1500206
2015-01-12,4163792.0,5.0162,5.016151,5.0791483
2015-01-14,6408589.0,4.9059,4.8901567,5.0319
2015-01-23,12077731.0,4.6067,4.598795,4.8035355
2015-01-27,12129723.0,4.2838,4.2838087,4.4728003
2015-02-17,17963709.0,4.7642,4.748413,4.9452796
2015-02-26,130083925.0,6.1029,6.024106,6.5517073
2015-03-02,74745301.0,6.1658,6.1501,6.5438333
2015-03-06,50652107.0,5.9611,5.921736,6.252471
2015-03-19,120067486.0,5.3075,5.157895,5.449257
2015-03-23,30220542.0,5.0634,5.0555243,5.228767
2015-04-01,48950684.0,4.4492,4.362555,4.622419
2015-04-09,32532530.0,4.4728,4.4491763,4.543672
2015-04-13,22428212.0,4.3311,4.3310566,4.4885497
2015-05-13,33220583.0,4.0239,4.016071,4.086942
2015-05-21,37210939.0,3.9531,3.9373243,4.165689
2015-05-28,25796591.0,3.7877,3.7877061,3.8743274
2014-10-27,32425688.0,5.8666,5.819365,6.0162315
2014-10-31,110133360.0,5.7957,5.7169952,5.937485
2014-11-28,8034508.0,5.15,5.1342707,5.2917643
2014-12-02,10140439.0,5.0791,5.0555243,5.228767
2014-12-10,8830803.0,5.1894,5.1500206,5.283889
2014-12-19,7367143.0,4.9217,4.9137807,5.0870233
2015-01-05,14867729.0,5.0476,4.9531536,5.0948973
2015-01-09,4310094.0,5.0555,5.024026,5.0870233
2015-01-13,12813734.0,5.0555,5.000402,5.0870233
2015-01-20,7059144.0,4.8114,4.787786,4.898031
2015-01-28,133518586.0,4.8429,4.299558,4.9846525
2015-02-16,31036567.0,4.8508,4.787786,5.008277
2015-02-20,130552484.0,5.4808,5.4650064,5.819365
2015-02-23,84025398.0,5.5123,5.276014,5.5910006
2015-02-27,101450654.0,6.2761,5.850864,6.323343
2015-03-03,125437665.0,6.347,6.1186023,6.409964
2015-03-20,30645208.0,5.15,5.142146,5.3547606
2015-03-24,47020004.0,5.0162,5.016151,5.2523904
2015-04-08,141063555.0,4.4649,4.3783045,4.622419
2015-05-12,32365636.0,4.0082,3.9609485,4.039695
2015-05-20,162953545.0,4.1342,4.0318203,4.299558
2015-06-17,17967516.0,3.4018,3.4018483,3.496344
2015-06-23,78195089.0,3.7405,3.5042186,3.748333
2015-06-30,56390377.0,3.8586,3.748333,3.8743274
2015-07-08,30605691.0,3.8586,3.850703,3.9609485
2014-10-09,209908949.0,5.7957,5.244516,5.858739
2014-10-17,167642144.0,5.8509,5.4807553,6.063479
2014-11-05,31455712.0,5.6934,5.669747,5.953234
2014-11-19,16965645.0,5.1894,5.118521,5.307513
2014-12-12,7421433.0,5.087,5.071274,5.228767
2014-12-15,13937235.0,5.1894,4.9925275,5.2208924
2014-12-24,66301019.0,5.2209,5.039775,5.3626356
2015-01-30,35558299.0,4.7327,4.6302934,4.82716
2015-02-03,18888365.0,4.7405,4.732664,4.9846525
2015-02-11,36402237.0,4.709,4.7090397,4.866533
2015-03-10,42158320.0,5.7012,5.598875,6.1186023
2015-03-18,58598315.0,5.0398,5.039775,5.3547606
2015-04-16,59621974.0,4.3704,4.37043,4.457051
2015-04-28,54995999.0,4.4964,4.4964247,4.583046
2015-05-06,43506210.0,3.9452,3.9137003,4.299558
2015-05-22,18129055.0,3.8822,3.8664525,3.984572
2015-05-26,40855374.0,3.7877,3.7562072,3.9530737
2015-06-04,15754726.0,3.4806,3.4648454,3.5672162
2015-06-08,22161938.0,2.8585,2.7955003,3.1104863
2015-06-12,19248921.0,3.4963,3.496344,3.5987146
2015-06-16,46464132.0,3.4412,3.4097226,3.535717
